Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.602749033	7.929270744	-18.17252541	NaN
0.602760601	7.928503513	-18.17252541	NaN
0.602772181	7.917445183	-18.17252541	NaN
0.602783739	7.912154198	-18.17252541	NaN
0.602795331	7.907505512	-18.17252541	NaN
0.602806888	7.918319225	-18.17252541	NaN
0.602818462	7.919985771	-18.17252541	NaN
0.60283005	7.920568466	-18.17252541	NaN
0.602841618	7.928515911	-18.17252541	NaN
0.602853197	7.918107033	-18.17252541	NaN
0.602864775	7.906486511	-18.17252541	NaN
0.602876331	7.906814575	-18.17252541	NaN
0.60288792	7.903505325	-18.17252541	NaN
0.602899516	7.917516232	-18.17252541	NaN
0.602911059	7.923431873	-18.17252541	NaN
0.602922653	7.914343357	-18.17252541	NaN
0.602934215	7.926651478	-18.17252541	NaN
0.6029458	7.92626524	-18.17252541	NaN
0.602957372	7.916249752	-18.17252541	NaN
0.602968961	7.910068512	-18.17252541	NaN
0.602980552	7.918198109	-18.17252541	NaN
0.602992095	7.924533844	-18.17252541	NaN
0.603003672	7.926237583	-18.17252541	NaN
0.603015255	7.926089764	-18.17252541	NaN
0.60302682	7.926105499	-18.17252541	NaN
0.603038408	7.917823792	-18.17252541	NaN
0.603049971	7.919355869	-18.17252541	NaN
0.603061541	7.924611092	-18.17252541	NaN
0.603073149	7.929776192	-18.17252541	NaN
0.603084721	7.936917782	-18.17252541	NaN
0.603096301	7.925723076	-18.17252541	NaN
0.603107843	7.910130501	-18.17252541	NaN
0.603119449	7.908914089	-18.17252541	NaN
0.603131001	7.913428783	-18.17252541	NaN
0.603142575	7.905134201	-18.17252541	NaN
0.603154164	7.915449143	-18.17252541	NaN
0.603165737	7.909185886	-18.17252541	NaN
0.60317731	7.904223919	-18.17252541	NaN
0.603188887	7.908032417	-18.17252541	NaN
0.603200475	7.923444271	-18.17252541	NaN
0.603212042	7.926774979	-18.17252541	NaN
0.603223608	7.920276642	-18.17252541	NaN
0.603235186	7.917233944	-18.17252541	NaN
0.603246783	7.916368008	-18.17252541	NaN
0.603258345	7.916210175	-18.17252541	NaN
0.603269927	7.927769661	-18.17252541	NaN
0.603281495	7.933849335	-18.17252541	NaN
0.603293053	7.935537815	-18.17252541	NaN
0.603304643	7.920036316	-18.17252541	NaN
0.603316212	7.921531677	-18.17252541	NaN
0.603327783	7.91740799	-18.17252541	NaN
0.603339363	7.923734188	-18.17252541	NaN
0.603350955	7.919496536	-18.17252541	NaN
0.603362546	7.92034626	-18.17252541	NaN
0.603374096	7.936093807	-18.17252541	NaN
0.603385676	7.927727699	-18.17252541	NaN
0.603397242	7.920062542	-18.17252541	NaN
0.603408834	7.917868137	-18.17252541	NaN
0.603420423	7.911082268	-18.17252541	NaN
0.603431987	7.915777206	-18.17252541	NaN
0.603443545	7.914671898	-18.17252541	NaN
0.603455125	7.908420086	-18.17252541	NaN
0.603466688	7.911286831	-18.17252541	NaN
0.603478287	7.916476727	-18.17252541	NaN
0.60348985	7.913489342	-18.17252541	NaN
0.603501423	7.925121307	-18.17252541	NaN
0.603512997	7.941198826	-18.17252541	NaN
0.603524574	7.933634758	-18.17252541	NaN
0.603536155	7.921432495	-18.17252541	NaN
0.60354773	7.904150486	-18.17252541	NaN
0.603559297	7.907316208	-18.17252541	NaN
0.603570889	7.922621727	-18.17252541	NaN
0.603582466	7.9164114	-18.17252541	NaN
0.603594037	7.910320282	-18.17252541	NaN
0.603605615	7.917767048	-18.17252541	NaN
0.603617187	7.925365925	-18.17252541	NaN
0.603628763	7.92440176	-18.17252541	NaN
0.603640347	7.921944141	-18.17252541	NaN
0.603651919	7.933997631	-18.17252541	NaN
0.603663479	7.928711414	-18.17252541	NaN
0.603675042	7.912804604	-18.17252541	NaN
0.603686639	7.914433003	-18.17252541	NaN
0.603698203	7.911026955	-18.17252541	NaN
0.603709787	7.913961411	-18.17252541	NaN
pump starts			
0.603721372	7.909911156	-18.17252541	NaN
0.603732949	7.916100979	-18.17252541	NaN
0.603744523	7.914378166	-18.17252541	NaN
0.603756089	7.912204266	-18.17252541	NaN
0.603767671	7.906982899	-18.17252541	NaN
0.603779251	7.908702374	-18.17252541	NaN
0.603790799	7.564964294	-18.17252541	NaN
0.603802396	7.901456833	-18.17252541	NaN
0.603813944	7.871229172	-18.17252541	NaN
0.603825535	7.878822804	-18.17252541	NaN
0.603837131	7.877950668	-18.17252541	NaN
0.603848684	7.922737122	-18.17252541	NaN
0.603860258	7.878539085	-18.17252541	NaN
0.603871842	7.91890192	-18.17252541	NaN
0.603883401	7.894822121	-18.17252541	NaN
0.603894991	7.941006661	-18.17252541	NaN
0.603906564	7.90873003	-18.17252541	NaN
0.603918145	7.933432102	-18.17252541	NaN
0.603929714	7.93124485	-18.17252541	NaN
0.603941303	7.956166267	-18.17252541	NaN
0.603952854	7.938359737	-18.17252541	NaN
0.603964454	7.95471859	-18.17252541	NaN
0.60397602	7.935458183	-18.17252541	NaN
0.603987593	7.957091332	-18.17252541	NaN
0.603999192	7.925922871	-18.17252541	NaN
0.604010741	7.878112793	-18.17252541	NaN
0.604022341	7.865107536	-18.17252541	NaN
0.60403391	7.856610775	-18.17252541	NaN
0.604045478	7.866005421	-18.17252541	NaN
0.604057077	7.827297211	-18.17252541	NaN
0.604068651	7.821705341	-18.17252541	NaN
0.604080187	7.834127426	-18.17252541	NaN
0.604091803	7.864246845	-18.17252541	NaN
0.604103354	7.799473286	-18.17252541	NaN
0.604114916	7.809066773	-18.17252541	NaN
0.604126529	7.773459911	-18.17252541	NaN
0.604138075	7.811463833	-18.17252541	NaN
0.604149657	7.772488594	-18.17252541	NaN
0.604161237	7.795062542	-18.17252541	NaN
0.604172828	7.739270687	-18.17252541	NaN
0.604184368	7.758974075	-18.17252541	NaN
0.604195961	7.71283865	-18.17252541	NaN
0.604207523	7.751415253	-18.17252541	NaN
0.604219103	7.695087433	-18.17252541	NaN
0.60423068	7.716069698	-18.17252541	NaN
0.604242256	7.665141106	-18.17252541	NaN
0.604253861	7.719448566	-18.17252541	NaN
0.604265424	7.657230854	-18.17252541	NaN
0.604276993	7.652540684	-18.17252541	NaN
0.604288565	7.648565292	-18.17252541	NaN
0.60430014	7.64546299	-18.17252541	NaN
0.604311724	7.63132143	-18.17252541	NaN
0.604323296	7.645496368	-18.17252541	NaN
0.604334864	7.643014431	-18.17252541	NaN
0.604346455	7.617973328	-18.17252541	NaN
0.604358021	7.611334324	-18.17252541	NaN
0.604369585	7.614431858	-18.17252541	NaN
0.604381157	7.583014965	-18.17252541	NaN
0.604392749	7.568603993	-18.17252541	NaN
0.60440434	7.5603652	-18.17252541	NaN
0.604415903	7.550829887	-18.17252541	NaN
0.604427473	7.565631867	-18.17252541	NaN
0.604439057	7.557936192	-18.17252541	NaN
0.604450639	7.566257954	-18.17252541	NaN
0.604462198	7.539033413	-18.17252541	NaN
0.604473768	7.563643932	-18.17252541	NaN
0.604485349	7.526237488	-18.17252541	NaN
0.604496935	7.530146122	-18.17252541	NaN
0.6045085	7.523767948	-18.17252541	NaN
0.604520071	7.527371407	-18.17252541	NaN
0.604531674	7.513483048	-18.17252541	NaN
0.604543238	7.547043324	-18.17252541	NaN
0.604554802	7.468123436	-18.17252541	NaN
0.604566401	7.510826111	-18.17252541	NaN
0.604577966	7.484916687	-18.17252541	NaN
0.60458952	7.48239708	-18.17252541	NaN
0.604601115	7.444867134	-18.17252541	NaN
0.604612692	7.496892929	-18.17252541	NaN
0.604624251	7.468959332	-18.17252541	NaN
0.60463581	7.504175186	-18.17252541	NaN
0.6046474	7.422720432	-18.17252541	NaN
0.604658971	7.445628643	-18.17252541	NaN
0.60467055	7.400659084	-18.17252541	NaN
0.604682133	7.403316498	-18.17252541	NaN
0.60469372	7.40963459	-18.17252541	NaN
0.604705284	7.410404205	-18.17252541	NaN
0.604716847	7.403657913	-18.17252541	NaN
0.604728447	7.428977013	-18.17252541	NaN
0.604740001	7.409958363	-18.17252541	NaN
0.604751576	7.393493652	-18.17252541	NaN
0.604763155	7.353918552	-18.17252541	NaN
0.604774749	7.376861572	-18.17252541	NaN
0.604786311	7.363557339	-18.17252541	NaN
0.604797898	7.368288994	-18.17252541	NaN
0.604809459	7.349062443	-18.17252541	NaN
0.604821029	7.318146229	-18.17252541	NaN
0.604832607	7.341042042	-18.17252541	NaN
0.6048442	7.33253336	-18.17252541	NaN
0.604855783	7.372887611	-18.17252541	NaN
0.604867339	7.334125996	-18.17252541	NaN
0.604878907	7.358691216	-18.17252541	NaN
0.604890471	7.335587025	-18.17252541	NaN
0.604902064	7.329679966	-18.17252541	NaN
0.604913635	7.291509628	-18.17252541	NaN
0.60492521	7.31976366	-18.17252541	NaN
0.604936807	7.297102928	-18.17252541	NaN
0.60494838	7.360015392	-18.17252541	NaN
0.604959938	7.320408821	-18.17252541	NaN
0.604971507	7.348548412	-18.17252541	NaN
0.604983094	7.288078785	-18.17252541	NaN
0.604994688	7.315461636	-18.17252541	NaN
0.605006238	7.271227837	-18.17252541	NaN
0.605017832	7.295692444	-18.17252541	NaN
0.60502941	7.266325474	-18.17252541	NaN
0.605040969	7.278652668	-18.17252541	NaN
0.605052553	7.275847912	-18.17252541	NaN
0.605064133	7.307499409	-18.17252541	NaN
0.605075694	7.243330002	-18.17252541	NaN
0.605087267	7.26634407	-18.17252541	NaN
0.605098842	7.243715763	-18.17252541	NaN
0.605110426	7.259746075	-18.17252541	NaN
0.605121984	7.223957062	-18.17252541	NaN
0.605133559	7.237535954	-18.17252541	NaN
0.605145139	7.230892658	-18.17252541	NaN
0.605156737	7.22622776	-18.17252541	NaN
0.605168303	7.228625774	-18.17252541	NaN
0.605179881	7.223836899	-18.17252541	NaN
0.605191446	7.217882633	-18.17252541	NaN
0.605203027	7.208943844	-18.17252541	NaN
0.605214605	7.224063873	-18.17252541	NaN
0.605226173	7.224111557	-18.17252541	NaN
0.605237761	7.199503899	-18.17252541	NaN
0.605249322	7.159470558	-18.17252541	NaN
0.605260905	7.178621292	-18.17252541	NaN
0.605272497	7.142626286	-18.17252541	NaN
0.605284058	7.198173046	-18.17252541	NaN
0.605295642	7.131667137	-18.17252541	NaN
0.605307205	7.176745892	-18.17252541	NaN
0.605318764	7.152681351	-18.17252541	NaN
0.605330372	7.17096138	-18.17252541	NaN
0.605341942	7.118247986	-18.17252541	NaN
0.605353521	7.152380943	-18.17252541	NaN
0.605365109	7.120591641	-18.17252541	NaN
0.605376645	7.141217232	-18.17252541	NaN
0.605388235	7.122473717	-18.17252541	NaN
0.605399826	7.121808529	-18.17252541	NaN
0.605411374	7.077981949	-18.17252541	NaN
0.605422955	7.122170925	-18.17252541	NaN
0.60543455	7.091860294	-18.17252541	NaN
0.605446128	7.121082306	-18.17252541	NaN
0.605457687	7.089884758	-18.17252541	NaN
0.605469262	7.118470669	-18.17252541	NaN
0.605480841	7.106760502	-18.17252541	NaN
0.605492409	7.086873055	-18.17252541	NaN
0.605504006	7.065361023	-18.17252541	NaN
0.605515569	7.076462269	-18.17252541	NaN
0.605527157	7.071838379	-18.17252541	NaN
0.605538715	7.068173409	-18.17252541	NaN
0.605550284	7.052917004	-18.17252541	NaN
