Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.635238417	3.891185045	-18.17252541	NaN
0.635249984	3.913357258	-18.17252541	NaN
0.635261565	3.906057358	-18.17252541	NaN
0.635273131	3.905485153	-18.17252541	NaN
0.635284715	3.887444973	-18.17252541	NaN
0.635296274	3.910779476	-18.17252541	NaN
0.635307862	3.898646355	-18.17252541	NaN
0.635319438	3.909338236	-18.17252541	NaN
0.635331017	3.891733646	-18.17252541	NaN
0.63534261	3.921561241	-18.17252541	NaN
0.635354156	3.909146071	-18.17252541	NaN
0.635365735	3.933063746	-18.17252541	NaN
0.635377307	3.916416645	-18.17252541	NaN
0.635388878	3.934517384	-18.17252541	NaN
0.635400462	3.913681746	-18.17252541	NaN
0.635412035	3.917856455	-18.17252541	NaN
0.635423608	3.903217316	-18.17252541	NaN
0.635435177	3.913414955	-18.17252541	NaN
0.635446742	3.914024353	-18.17252541	NaN
0.635458332	3.926963806	-18.17252541	NaN
0.635469895	3.913526297	-18.17252541	NaN
0.63548148	3.929585695	-18.17252541	NaN
0.635493073	3.906371355	-18.17252541	NaN
0.63550462	3.923707485	-18.17252541	NaN
0.635516185	3.905501843	-18.17252541	NaN
0.635527769	3.923204422	-18.17252541	NaN
0.635539362	3.915394068	-18.17252541	NaN
0.635550913	3.932972908	-18.17252541	NaN
0.635562494	3.952489615	-18.17252541	NaN
0.635574079	3.930655241	-18.17252541	NaN
0.635585643	3.918171883	-18.17252541	NaN
0.635597214	3.923152685	-18.17252541	NaN
0.635608804	3.920097113	-18.17252541	NaN
0.635620362	3.921018839	-18.17252541	NaN
0.635631956	3.920777559	-18.17252541	NaN
0.635643515	3.912528276	-18.17252541	NaN
0.635655088	3.912796497	-18.17252541	NaN
0.635666677	3.893749476	-18.17252541	NaN
0.635678248	3.897361279	-18.17252541	NaN
0.635689824	3.883090258	-18.17252541	NaN
0.635701378	3.902968168	-18.17252541	NaN
0.635712945	3.898542643	-18.17252541	NaN
0.635724527	3.92353797	-18.17252541	NaN
0.635736133	3.909722805	-18.17252541	NaN
0.635747691	3.918170929	-18.17252541	NaN
0.635759252	3.895364523	-18.17252541	NaN
0.635770845	3.900104284	-18.17252541	NaN
0.635782407	3.891541243	-18.17252541	NaN
0.635794	3.912720203	-18.17252541	NaN
0.635805553	3.885842085	-18.17252541	NaN
0.635817122	3.904181957	-18.17252541	NaN
0.635828703	3.895980358	-18.17252541	NaN
0.635840269	3.896429062	-18.17252541	NaN
0.635851835	3.873151779	-18.17252541	NaN
0.635863423	3.888682365	-18.17252541	NaN
0.635874988	3.879748344	-18.17252541	NaN
0.635886553	3.901862145	-18.17252541	NaN
0.635898127	3.890125275	-18.17252541	NaN
0.635909729	3.898995638	-18.17252541	NaN
0.635921297	3.871969938	-18.17252541	NaN
0.635932874	3.878126621	-18.17252541	NaN
0.635944464	3.875601769	-18.17252541	NaN
0.635956014	3.873831749	-18.17252541	NaN
0.635967602	3.878513098	-18.17252541	NaN
0.635979153	3.87354517	-18.17252541	NaN
0.635990733	3.86282301	-18.17252541	NaN
0.636002331	3.859158754	-18.17252541	NaN
0.636013912	3.875986576	-18.17252541	NaN
0.636025454	3.874853134	-18.17252541	NaN
0.636037023	3.874745131	-18.17252541	NaN
0.636048611	3.884082079	-18.17252541	NaN
0.636060165	3.888146401	-18.17252541	NaN
0.636071749	3.869751453	-18.17252541	NaN
0.636083333	3.876517296	-18.17252541	NaN
0.636094889	3.852952719	-18.17252541	NaN
0.636106482	3.869553804	-18.17252541	NaN
0.636118062	3.847896576	-18.17252541	NaN
0.636129629	3.869713306	-18.17252541	NaN
0.636141216	3.841603279	-18.17252541	NaN
0.63615279	3.857155323	-18.17252541	NaN
0.63616436	3.841956139	-18.17252541	NaN
0.636175923	3.864743471	-18.17252541	NaN
0.636187519	3.862039089	-18.17252541	NaN
0.636199097	3.842593908	-18.17252541	NaN
0.636210632	3.809858322	-18.17252541	NaN
0.636222218	3.844309807	-18.17252541	NaN
0.636233798	3.823606968	-18.17252541	NaN
0.636245381	3.837564468	-18.17252541	NaN
0.636256962	3.832680225	-18.17252541	NaN
0.63626853	3.852666855	-18.17252541	NaN
0.636280072	3.843824387	-18.17252541	NaN
0.63629165	3.871646881	-18.17252541	NaN
0.636303247	3.851263285	-18.17252541	NaN
0.636314807	3.863131523	-18.17252541	NaN
0.636326389	3.838028908	-18.17252541	NaN
0.63633797	3.838433027	-18.17252541	NaN
0.636349559	3.840194464	-18.17252541	NaN
0.636361104	3.858999252	-18.17252541	NaN
0.636372709	3.832742453	-18.17252541	NaN
0.636384262	3.824266195	-18.17252541	NaN
